Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2022-05-16,31.327,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.63514258832691,7.79,0.044,2022.0,May,16.0,-4175.0,27.47
2022-05-17,32.004,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,2.161075110926669,7.79,0.044,2022.0,May,17.0,2668.0,26.1
2022-05-18,31.946,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.1812273465816694,7.79,0.044,2022.0,May,18.0,745.0,30.96
2022-05-19,31.279,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-2.087898328429227,7.79,0.044,2022.0,May,19.0,4708.0,29.35
2022-05-20,31.837,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.783944499504453,7.79,0.044,2022.0,May,20.0,6338.0,29.43
2022-05-23,31.778,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.1853189684957735,7.79,0.044,2022.0,May,23.0,2587.0,28.48
2022-05-24,31.49,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.9062873686197959,7.79,0.044,2022.0,May,24.0,-4272.0,29.45
2022-05-25,30.94,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.746586217846924,7.79,0.044,2022.0,May,25.0,6540.0,28.37
2022-05-26,31.296,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.150614091790558,7.79,0.044,2022.0,May,26.0,2164.0,27.5
2022-05-27,31.595,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.9553936605317004,7.79,0.044,2022.0,May,27.0,6000.0,25.72
2022-05-30,32.373,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,2.462414939072644,7.79,0.044,2022.0,May,30.0,988.0,26.54
2022-05-31,32.512,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.4293701541407957,7.79,0.044,2022.0,May,31.0,-2496.0,26.19
2022-06-01,32.663,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.4644438976377785,7.01,0.044,2022.0,Jun,1.0,-2033.0,25.69
2022-06-02,32.763,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3061568135198867,7.01,0.044,2022.0,Jun,2.0,-2214.0,24.72
2022-06-03,32.382,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.162897170588773,7.01,0.044,2022.0,Jun,3.0,-3878.0,24.79
2022-06-06,32.236,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.4508677660428617,7.01,0.044,2022.0,Jun,6.0,73.0,25.07
2022-06-07,32.066,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.5273607147288528,7.01,0.044,2022.0,Jun,7.0,104.0,24.02
2022-06-08,31.96,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.3305682030811496,7.01,0.049,2022.0,Jun,8.0,-2857.0,23.96
2022-06-09,31.943,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.05319148936170359,7.01,0.049,2022.0,Jun,9.0,4879.0,26.09
2022-06-10,31.74,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.635506996838131,7.01,0.049,2022.0,Jun,10.0,1806.0,27.75
2022-06-13,30.803,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-2.952110901071192,7.01,0.049,2022.0,Jun,13.0,7043.0,34.02
2022-06-14,30.828,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.08116092588383861,7.01,0.049,2022.0,Jun,14.0,-1560.0,32.69
2022-06-15,30.957,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.4184507590502262,7.01,0.049,2022.0,Jun,15.0,-1234.0,29.62
2022-06-16,30.287,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-2.164292405594859,7.01,0.049,2022.0,Jun,16.0,644.0,32.95
2022-06-17,30.302,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.04952619935947311,7.01,0.049,2022.0,Jun,17.0,5518.0,31.13
2022-06-20,29.832,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.551052735793013,7.01,0.049,2022.0,Jun,20.0,917.0,31.03
2022-06-21,30.419,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.967685706623756,7.01,0.049,2022.0,Jun,21.0,7144.0,30.19
2022-06-22,30.096,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-1.061836352279821,7.01,0.049,2022.0,Jun,22.0,3787.0,28.95
2022-06-23,30.507,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.365629984051031,7.01,0.049,2022.0,Jun,23.0,-4272.0,29.05
2022-06-24,30.962,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.49146097616939,7.01,0.049,2022.0,Jun,24.0,-3635.0,27.23
2022-06-27,31.379,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.346812221432736,7.01,0.049,2022.0,Jun,27.0,2186.0,26.95
2022-06-28,31.383,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.01274737882022148,7.01,0.049,2022.0,Jun,28.0,-4605.0,28.36
2022-06-29,31.195,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.5990504413217357,7.01,0.049,2022.0,Jun,29.0,2400.0,28.16
2022-06-30,31.044,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.4840519313992653,7.01,0.049,2022.0,Jun,30.0,3082.0,28.71
2022-07-01,31.223,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.5766009534853733,6.71,0.049,2022.0,Jul,1.0,-829.0,26.7
2022-07-04,31.497,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8775582102936941,6.71,0.049,2022.0,Jul,4.0,5011.0,27.53
2022-07-05,31.54,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.1365209385020716,6.71,0.049,2022.0,Jul,5.0,-4283.0,27.54
2022-07-06,31.914,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.185795814838309,6.71,0.049,2022.0,Jul,6.0,-2218.0,26.73
2022-07-07,32.318,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.265902111925787,6.71,0.049,2022.0,Jul,7.0,-54.0,26.08
2022-07-08,32.364,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.142335540565619,6.71,0.049,2022.0,Jul,8.0,6769.0,24.64
2022-07-11,32.698,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.032010876282308,6.71,0.049,2022.0,Jul,11.0,-20.0,26.17
2022-07-12,32.46,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.7278732644198427,6.71,0.049,2022.0,Jul,12.0,6332.0,27.29
2022-07-13,32.57,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3388786198398108,6.71,0.049,2022.0,Jul,13.0,2266.0,26.82
2022-07-14,32.545,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.07675775253299655,6.71,0.049,2022.0,Jul,14.0,-509.0,26.4
2022-07-15,32.779,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.7190044553694985,6.71,0.049,2022.0,Jul,15.0,2192.0,24.23
2022-07-18,33.301,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.592482992159616,6.71,0.049,2022.0,Jul,18.0,2651.0,25.3
2022-07-19,33.598,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.8918651091558649,6.71,0.049,2022.0,Jul,19.0,-1364.0,24.5
2022-07-20,33.56,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,-0.1131019703553671,6.71,0.049,2022.0,Jul,20.0,6414.0,23.88
2022-07-21,33.969,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,1.218712753277718,6.71,0.049,2022.0,Jul,21.0,-3833.0,23.11
2022-07-22,34.007,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.1118667019929909,6.71,0.049,2022.0,Jul,22.0,5808.0,23.03
2022-07-25,34.121,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_HDFC Mutual Fund_HDFC Mid Cap Fund_HDFC Mid Cap Fund - IDCW Plan_Net Asset Value,0.3352251007145757,6.71,0.049,2022.0,Jul,25.0,2860.0,23.36
