Date,NAV,Fund_Name,Return,Inflation,Repo_Rate,Year,Month,Day,Net_FII_RsCrore,VIX
2024-02-14,30.9845,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,3.946229560993286,5.09,0.065,2024.0,Feb,14.0,-2796.0,14.38
2024-02-15,31.7827,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,2.576126773063936,5.09,0.065,2024.0,Feb,15.0,5789.0,14.01
2024-02-16,31.645,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.4332545693097156,5.09,0.065,2024.0,Feb,16.0,-3880.0,14.24
2024-02-19,31.6406,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.01390425027650855,5.09,0.065,2024.0,Feb,19.0,-2664.0,14.71
2024-02-20,31.7364,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.3027755478720362,5.09,0.065,2024.0,Feb,20.0,373.0,15.42
2024-02-21,31.2703,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-1.468660591623505,5.09,0.065,2024.0,Feb,21.0,-2757.0,15.34
2024-02-22,31.5693,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.9561788662085124,5.09,0.065,2024.0,Feb,22.0,-2355.0,14.54
2024-02-23,31.3986,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.5407151884900818,5.09,0.065,2024.0,Feb,23.0,5049.0,13.75
2024-02-26,31.3041,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.3009688330052884,5.09,0.065,2024.0,Feb,26.0,6104.0,13.74
2024-02-27,31.1104,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.6187687874751213,5.09,0.065,2024.0,Feb,27.0,6045.0,13.43
2024-02-28,30.495,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-1.978116642666106,5.09,0.065,2024.0,Feb,28.0,1028.0,13.84
2024-02-29,30.7679,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.8949008034103922,5.09,0.065,2024.0,Feb,29.0,2326.0,13.4
2024-03-01,31.4635,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,2.260797779503965,4.85,0.065,2024.0,Mar,1.0,1371.0,13.11
2024-03-04,32.0654,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,1.9130103135379,4.85,0.065,2024.0,Mar,4.0,-1772.0,13.49
2024-03-05,32.3628,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.9274794638457706,4.85,0.065,2024.0,Mar,5.0,-1281.0,14.46
2024-03-06,32.0972,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-0.8206953662847405,4.85,0.065,2024.0,Mar,6.0,6420.0,14.5
2024-03-07,32.179,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.2548508904203439,4.85,0.065,2024.0,Mar,7.0,-2629.0,14.44
2024-03-11,31.6799,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-1.551011529258217,4.85,0.065,2024.0,Mar,11.0,-4906.0,15.22
2024-03-12,30.9302,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-2.366484742691743,4.85,0.065,2024.0,Mar,12.0,-2326.0,13.84
2024-03-13,28.9617,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-6.364330007565422,4.85,0.065,2024.0,Mar,13.0,1898.0,13.75
2024-03-14,29.6805,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,2.481898507338998,4.85,0.065,2024.0,Mar,14.0,5147.0,14.4
2024-03-15,29.3207,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-1.212243729047691,4.85,0.065,2024.0,Mar,15.0,-4207.0,14.41
2024-03-18,29.3469,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.08935666610960791,4.85,0.065,2024.0,Mar,18.0,779.0,14.33
2024-03-19,28.9432,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,-1.375613778627383,4.85,0.065,2024.0,Mar,19.0,7298.0,13.82
2024-03-20,29.0569,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.3928383869095331,4.85,0.065,2024.0,Mar,20.0,6517.0,13.04
2024-03-21,29.9451,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,3.056761044708844,4.85,0.065,2024.0,Mar,21.0,6111.0,12.92
2024-03-22,30.093,Historical NAV for a period From 12-Sep-2020 to 08-Sep-2025_SBI Mutual Fund_SBI PSU FUND_SBI PSU Fund - DIRECT PLAN - GROWTH_Net Asset Value,0.4939038440345822,4.85,0.065,2024.0,Mar,22.0,5789.0,13.06
